circuit,device,swap_penalty,distance_penalty
linear_chain,ibm_brisbane,0,4
long_range,ibm_brisbane,4,4
star,ibm_brisbane,4,6
dense,ibm_brisbane,4,8
linear_chain,ibm_kyoto,0,4
long_range,ibm_kyoto,4,4
star,ibm_kyoto,4,6
dense,ibm_kyoto,4,8
linear_chain,ibm_fez,0,4
long_range,ibm_fez,6,6
star,ibm_fez,9,10
dense,ibm_fez,7,10
linear_chain,rigetti_aspen,0,4
long_range,rigetti_aspen,6,6
star,rigetti_aspen,9,10
dense,rigetti_aspen,7,10
linear_chain,ionq_harmony,0,4
long_range,ionq_harmony,0,2
star,ionq_harmony,0,4
dense,ionq_harmony,0,6
