circuit_name,qubits,gamma_theoretical,gamma_empirical,verification_status
hidden_shift_256,256,1.0013351134846462,1.0018624990958689,True
hidden_shift_512,512,1.0013351134846462,1.0024715886141877,True
hidden_shift_768,768,1.0013351134846462,1.0022857169078323,True
hidden_shift_1024,1024,1.0013351134846462,1.0010508732352084,True
qaoa_12,12,1.0013351134846462,0.9998226131630431,True
qaoa_27,27,1.0013351134846462,0.998986341101673,True
qaoa_53,53,1.0013351134846462,1.0006445959335906,True
qaoa_105,105,1.0013351134846462,1.0012379069712407,True
qaoa_127,127,1.0013351134846462,1.0014815747155645,True
qaoa_200,200,1.0013351134846462,1.0024740692896354,True
mod5_16,16,1.0013351134846462,1.0011098642571163,True
mod5_32,32,1.0013351134846462,1.001082289789724,True
mod5_48,48,1.0013351134846462,1.0022306729734316,True
mod5_65,65,1.0013351134846462,1.0012573100908506,True
mod5_80,80,1.0013351134846462,1.0020480982992643,True
mod5_96,96,1.0013351134846462,1.0020295738797156,True
mod5_112,112,1.0013351134846462,1.0018899286430147,True
mod5_128,128,1.0013351134846462,1.0006585021916148,True
arithmetic_5,5,1.0013351134846462,1.000556497209072,True
arithmetic_10,10,1.0013351134846462,1.0022802038795824,True
arithmetic_20,20,1.0013351134846462,1.0019785159608203,True
arithmetic_50,50,1.0013351134846462,0.9999284253676215,True
arithmetic_100,100,1.0013351134846462,1.0023754096549462,True
oracle_10,10,1.0013351134846462,1.0017605090953627,True
oracle_25,25,1.0013351134846462,1.0013152738433564,True
oracle_40,40,1.0013351134846462,1.0004224549339107,True
oracle_75,75,1.0013351134846462,1.0013621987320207,True
oracle_100,100,1.0013351134846462,1.0022717604550369,True
oracle_150,150,1.0013351134846462,0.9999672715672318,True
oracle_200,200,1.0013351134846462,1.0009123842530239,True
bv_14,14,1.0013351134846462,1.000869241345066,True
